Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,C,
"C10, C9",0603,2,100nF,
"C12, C13",0603,2,47pF,
"C4, C5",0603,2,1uF,C15849
C6,0603,1,1uF,
C7,0805,1,10uF,C15849
C8,0805,1,1uF,C15849
D1,0603,1,5V,
"D2, D3",0603,2,LED,
D4,0603,1,3V3,
D5,0603,1,PB7,
D6,0603,1,PA15,
IC1,TO254P470X1016X1965-3P,1,TL783CKCSE3,
IC2,QFN50P400X400X80-21N,1,FT231XQ-T,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
"J4, J5",SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm,2,Conn_01x01_Pin,
J8,GSB1C41110SSHR,1,GSB1C41110SSHR,
J9,PinHeader_1x05_P2.54mm_Vertical,1,SPI3,
Q2,TO-252-2,1,Q_NMOS_GDS,
"R1, R17, R8, R9",0603,4,1k,
"R12, R13",0603,2,27,
"R15, R16",0603,2,270,
R2,0805,1,1k,
R3,0805,1,100k,
"R4, R5",0805,2,15kR,C17475
R6,0805,1,4.7k,
R7,0805,1,3k,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm,4,SW_Push,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F301K6Tx,
